human_geneid,human_EnsemblID,human_Symbol,human_type_of_gene,human_description,mouse_EnsemblID,mouse_geneid,mouse_Symbol
5858,ENSG00000126838,PZP,protein-coding,PZP alpha-2-macroglobulin like,NA,NA,NA
5859,ENSG00000172053,QARS1,protein-coding,glutaminyl-tRNA synthetase 1,ENSMUSG00000032604,97541,Qars1
5860,ENSG00000151552,QDPR,protein-coding,quinoid dihydropteridine reductase,ENSMUSG00000015806,110391,Qdpr
5861,ENSG00000138069,RAB1A,protein-coding,"RAB1A, member RAS oncogene family",ENSMUSG00000020149,19324,Rab1a
5862,ENSG00000104388,RAB2A,protein-coding,"RAB2A, member RAS oncogene family",ENSMUSG00000047187,59021,Rab2a
5863,ENSG00000237441,RGL2,protein-coding,ral guanine nucleotide dissociation stimulator like 2,ENSMUSG00000041354,19732,Rgl2
5864,ENSG00000105649,RAB3A,protein-coding,"RAB3A, member RAS oncogene family",ENSMUSG00000031840,19339,Rab3a
5865,ENSG00000169213,RAB3B,protein-coding,"RAB3B, member RAS oncogene family",ENSMUSG00000003411,69908,Rab3b
5866,ENSG00000167994,RAB3IL1,protein-coding,RAB3A interacting protein like 1,ENSMUSG00000024663,74760,Rab3il1
5867,ENSG00000168118,RAB4A,protein-coding,"RAB4A, member RAS oncogene family",ENSMUSG00000019478,19341,Rab4a
5868,ENSG00000144566,RAB5A,protein-coding,"RAB5A, member RAS oncogene family",ENSMUSG00000017831,271457,Rab5a
5869,ENSG00000111540,RAB5B,protein-coding,"RAB5B, member RAS oncogene family",ENSMUSG00000000711,19344,Rab5b
5870,ENSG00000175582,RAB6A,protein-coding,"RAB6A, member RAS oncogene family",ENSMUSG00000030704,19346,Rab6a
5871,ENSG00000168067,MAP4K2,protein-coding,mitogen-activated protein kinase kinase kinase kinase 2,ENSMUSG00000024948,26412,Map4k2
5872,ENSG00000143545,RAB13,protein-coding,"RAB13, member RAS oncogene family",ENSMUSG00000027935,68328,Rab13
5873,ENSG00000069974,RAB27A,protein-coding,"RAB27A, member RAS oncogene family",ENSMUSG00000032202,11891,Rab27a
5874,ENSG00000041353,RAB27B,protein-coding,"RAB27B, member RAS oncogene family",ENSMUSG00000024511,80718,Rab27b
5875,ENSG00000100949,RABGGTA,protein-coding,Rab geranylgeranyltransferase subunit alpha,ENSMUSG00000040472,56187,Rabggta
5876,ENSG00000137955,RABGGTB,protein-coding,Rab geranylgeranyltransferase subunit beta,ENSMUSG00000038975,19352,Rabggtb
5877,ENSG00000183155,RABIF,protein-coding,RAB interacting factor,ENSMUSG00000042229,98710,Rabif
5878,ENSG00000108774,RAB5C,protein-coding,"RAB5C, member RAS oncogene family",ENSMUSG00000019173,19345,Rab5c
5879,ENSG00000136238,RAC1,protein-coding,Rac family small GTPase 1,ENSMUSG00000001847,19353,Rac1
5880,ENSG00000128340,RAC2,protein-coding,Rac family small GTPase 2,ENSMUSG00000033220,19354,Rac2
5881,ENSG00000169750,RAC3,protein-coding,Rac family small GTPase 3,ENSMUSG00000018012,170758,Rac3
5883,ENSG00000172613,RAD9A,protein-coding,RAD9 checkpoint clamp component A,ENSMUSG00000024824,19367,Rad9a
5884,ENSG00000152942,RAD17,protein-coding,RAD17 checkpoint clamp loader component,ENSMUSG00000021635,19356,Rad17
5885,ENSG00000164754,RAD21,protein-coding,RAD21 cohesin complex component,ENSMUSG00000022314,19357,Rad21
5886,ENSG00000179262,RAD23A,protein-coding,"RAD23 homolog A, nucleotide excision repair protein",ENSMUSG00000003813,19358,Rad23a
5887,ENSG00000119318,RAD23B,protein-coding,"RAD23 homolog B, nucleotide excision repair protein",ENSMUSG00000028426,19359,Rad23b
5888,ENSG00000051180,RAD51,protein-coding,RAD51 recombinase,ENSMUSG00000027323,19361,Rad51
5889,ENSG00000108384,RAD51C,protein-coding,RAD51 paralog C,ENSMUSG00000007646,114714,Rad51c
5890,ENSG00000182185,RAD51B,protein-coding,RAD51 paralog B,ENSMUSG00000059060,19363,Rad51b
5891,ENSG00000080823,MOK,protein-coding,MOK protein kinase,ENSMUSG00000056458,26448,Mok
5892,ENSG00000185379,RAD51D,protein-coding,RAD51 paralog D,ENSMUSG00000018841,19364,Rad51d
5893,ENSG00000002016,RAD52,protein-coding,"RAD52 homolog, DNA repair protein",ENSMUSG00000030166,19365,Rad52
5894,ENSG00000132155,RAF1,protein-coding,"Raf-1 proto-oncogene, serine/threonine kinase",ENSMUSG00000000441,110157,Raf1
5896,ENSG00000166349,RAG1,protein-coding,recombination activating 1,ENSMUSG00000061311,19373,Rag1
5897,ENSG00000175097,RAG2,protein-coding,recombination activating 2,ENSMUSG00000032864,19374,Rag2
5898,ENSG00000006451,RALA,protein-coding,RAS like proto-oncogene A,ENSMUSG00000008859,56044,Rala
5899,ENSG00000144118,RALB,protein-coding,RAS like proto-oncogene B,ENSMUSG00000004451,64143,Ralb
5900,ENSG00000160271,RALGDS,protein-coding,ral guanine nucleotide dissociation stimulator,ENSMUSG00000026821,19730,Ralgds
5901,ENSG00000132341,RAN,protein-coding,"RAN, member RAS oncogene family",ENSMUSG00000029430,19384,Ran
5902,ENSG00000099901,RANBP1,protein-coding,RAN binding protein 1,ENSMUSG00000005732,19385,Ranbp1
5905,ENSG00000100401,RANGAP1,protein-coding,Ran GTPase activating protein 1,ENSMUSG00000022391,19387,Rangap1
5906,ENSG00000116473,RAP1A,protein-coding,"RAP1A, member of RAS oncogene family",ENSMUSG00000068798,109905,Rap1a
5908,ENSG00000127314,RAP1B,protein-coding,"RAP1B, member of RAS oncogene family",ENSMUSG00000052681,215449,Rap1b
5909,ENSG00000076864,RAP1GAP,protein-coding,RAP1 GTPase activating protein,ENSMUSG00000041351,110351,Rap1gap
5910,ENSG00000138698,RAP1GDS1,protein-coding,Rap1 GTPase-GDP dissociation stimulator 1,ENSMUSG00000028149,229877,Rap1gds1
5911,ENSG00000125249,RAP2A,protein-coding,"RAP2A, member of RAS oncogene family",ENSMUSG00000051615,76108,Rap2a
5912,ENSG00000181467,RAP2B,protein-coding,"RAP2B, member of RAS oncogene family",ENSMUSG00000036894,74012,Rap2b
5913,ENSG00000165917,RAPSN,protein-coding,receptor associated protein of the synapse,ENSMUSG00000002104,19400,Rapsn
5914,ENSG00000131759,RARA,protein-coding,retinoic acid receptor alpha,ENSMUSG00000037992,19401,Rara
5915,ENSG00000077092,RARB,protein-coding,retinoic acid receptor beta,ENSMUSG00000017491,218772,Rarb
5916,ENSG00000172819,RARG,protein-coding,retinoic acid receptor gamma,ENSMUSG00000001288,19411,Rarg
5917,ENSG00000113643,RARS1,protein-coding,arginyl-tRNA synthetase 1,ENSMUSG00000018848,104458,Rars1
5918,ENSG00000118849,RARRES1,protein-coding,retinoic acid receptor responder 1,ENSMUSG00000049404,109222,Rarres1
5919,ENSG00000106538,RARRES2,protein-coding,retinoic acid receptor responder 2,ENSMUSG00000009281,71660,Rarres2
5920,ENSG00000133321,PLAAT4,protein-coding,phospholipase A and acyltransferase 4,NA,NA,NA
5921,ENSG00000145715,RASA1,protein-coding,RAS p21 protein activator 1,ENSMUSG00000021549,218397,Rasa1
5922,ENSG00000155903,RASA2,protein-coding,RAS p21 protein activator 2,ENSMUSG00000032413,114713,Rasa2
5923,ENSG00000058335,RASGRF1,protein-coding,Ras protein specific guanine nucleotide releasing factor 1,ENSMUSG00000032356,19417,Rasgrf1
5924,ENSG00000113319,RASGRF2,protein-coding,Ras protein specific guanine nucleotide releasing factor 2,ENSMUSG00000021708,19418,Rasgrf2
5925,ENSG00000139687,RB1,protein-coding,RB transcriptional corepressor 1,ENSMUSG00000022105,19645,Rb1
5926,ENSG00000032219,ARID4A,protein-coding,AT-rich interaction domain 4A,ENSMUSG00000048118,238247,Arid4a
5927,ENSG00000073614,KDM5A,protein-coding,lysine demethylase 5A,ENSMUSG00000030180,214899,Kdm5a
5928,ENSG00000162521,RBBP4,protein-coding,"RB binding protein 4, chromatin remodeling factor",ENSMUSG00000057236,19646,Rbbp4
5929,ENSG00000117222,RBBP5,protein-coding,"RB binding protein 5, histone lysine methyltransferase complex subunit",ENSMUSG00000026439,213464,Rbbp5
5930,ENSG00000122257,RBBP6,protein-coding,"RB binding protein 6, ubiquitin ligase",ENSMUSG00000030779,19647,Rbbp6
5931,ENSG00000102054,RBBP7,protein-coding,"RB binding protein 7, chromatin remodeling factor",ENSMUSG00000031353,245688,Rbbp7
5932,ENSG00000101773,RBBP8,protein-coding,"RB binding protein 8, endonuclease",ENSMUSG00000041238,225182,Rbbp8
5933,ENSG00000080839,RBL1,protein-coding,RB transcriptional corepressor like 1,ENSMUSG00000027641,19650,Rbl1
5934,ENSG00000103479,RBL2,protein-coding,RB transcriptional corepressor like 2,ENSMUSG00000031666,19651,Rbl2
5935,ENSG00000102317,RBM3,protein-coding,RNA binding motif protein 3,ENSMUSG00000031167,19652,Rbm3
5936,ENSG00000173933,RBM4,protein-coding,RNA binding motif protein 4,ENSMUSG00000094936,19653,Rbm4
5937,ENSG00000153250,RBMS1,protein-coding,RNA binding motif single stranded interacting protein 1,ENSMUSG00000026970,56878,Rbms1
5939,ENSG00000076067,RBMS2,protein-coding,RNA binding motif single stranded interacting protein 2,ENSMUSG00000040043,56516,Rbms2
5947,ENSG00000114115,RBP1,protein-coding,retinol binding protein 1,ENSMUSG00000046402,19659,Rbp1
5948,ENSG00000114113,RBP2,protein-coding,retinol binding protein 2,ENSMUSG00000032454,19660,Rbp2
5949,ENSG00000265203,RBP3,protein-coding,retinol binding protein 3,ENSMUSG00000041534,19661,Rbp3
5950,ENSG00000138207,RBP4,protein-coding,retinol binding protein 4,ENSMUSG00000024990,19662,Rbp4
5954,ENSG00000049449,RCN1,protein-coding,reticulocalbin 1,ENSMUSG00000005973,19672,Rcn1
5955,ENSG00000117906,RCN2,protein-coding,reticulocalbin 2,ENSMUSG00000032320,26611,Rcn2
5956,ENSG00000102076,OPN1LW,protein-coding,"opsin 1, long wave sensitive",NA,NA,NA
5957,ENSG00000109047,RCVRN,protein-coding,recoverin,ENSMUSG00000020907,19674,Rcvrn
5959,ENSG00000135437,RDH5,protein-coding,retinol dehydrogenase 5,ENSMUSG00000025350,19682,Rdh5
5961,ENSG00000112619,PRPH2,protein-coding,peripherin 2,ENSMUSG00000023978,19133,Prph2
5962,ENSG00000137710,RDX,protein-coding,radixin,ENSMUSG00000032050,19684,Rdx
5965,ENSG00000004700,RECQL,protein-coding,RecQ like helicase,ENSMUSG00000030243,19691,Recql
5966,ENSG00000162924,REL,protein-coding,"REL proto-oncogene, NF-kB subunit",ENSMUSG00000020275,19696,Rel
5968,ENSG00000172023,REG1B,protein-coding,regenerating family member 1 beta,NA,NA,NA
5970,ENSG00000173039,RELA,protein-coding,"RELA proto-oncogene, NF-kB subunit",ENSMUSG00000024927,19697,Rela
5971,ENSG00000104856,RELB,protein-coding,"RELB proto-oncogene, NF-kB subunit",ENSMUSG00000002983,19698,Relb
5972,ENSG00000143839,REN,protein-coding,renin,ENSMUSG00000070645,19701,Ren1
5973,ENSG00000102032,RENBP,protein-coding,renin binding protein,ENSMUSG00000031387,19703,Renbp
5976,ENSG00000005007,UPF1,protein-coding,UPF1 RNA helicase and ATPase,ENSMUSG00000058301,19704,Upf1
5977,ENSG00000133884,DPF2,protein-coding,double PHD fingers 2,ENSMUSG00000024826,19708,Dpf2
5978,ENSG00000084093,REST,protein-coding,RE1 silencing transcription factor,ENSMUSG00000029249,19712,Rest
5979,ENSG00000165731,RET,protein-coding,ret proto-oncogene,ENSMUSG00000030110,19713,Ret
5980,ENSG00000009413,REV3L,protein-coding,"REV3 like, DNA directed polymerase zeta catalytic subunit",ENSMUSG00000019841,19714,Rev3l
5981,ENSG00000035928,RFC1,protein-coding,replication factor C subunit 1,ENSMUSG00000029191,19687,Rfc1
5982,ENSG00000049541,RFC2,protein-coding,replication factor C subunit 2,ENSMUSG00000023104,19718,Rfc2
5983,ENSG00000133119,RFC3,protein-coding,replication factor C subunit 3,ENSMUSG00000033970,69263,Rfc3
5984,ENSG00000163918,RFC4,protein-coding,replication factor C subunit 4,ENSMUSG00000022881,106344,Rfc4
5985,ENSG00000111445,RFC5,protein-coding,replication factor C subunit 5,ENSMUSG00000029363,72151,Rfc5
5986,ENSG00000169733,RFNG,protein-coding,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,ENSMUSG00000025158,19719,Rfng
5987,ENSG00000204713,TRIM27,protein-coding,tripartite motif containing 27,ENSMUSG00000021326,19720,Trim27
5988,ENSG00000128250,RFPL1,protein-coding,ret finger protein like 1,NA,NA,NA
5989,ENSG00000132005,RFX1,protein-coding,regulatory factor X1,ENSMUSG00000031706,19724,Rfx1
5990,ENSG00000087903,RFX2,protein-coding,regulatory factor X2,ENSMUSG00000024206,19725,Rfx2
5991,ENSG00000080298,RFX3,protein-coding,regulatory factor X3,ENSMUSG00000040929,19726,Rfx3
5992,ENSG00000111783,RFX4,protein-coding,regulatory factor X4,ENSMUSG00000020037,71137,Rfx4
5993,ENSG00000143390,RFX5,protein-coding,regulatory factor X5,ENSMUSG00000005774,53970,Rfx5
5994,ENSG00000133111,RFXAP,protein-coding,regulatory factor X associated protein,ENSMUSG00000036615,170767,Rfxap
5995,ENSG00000148604,RGR,protein-coding,retinal G protein coupled receptor,ENSMUSG00000021804,57811,Rgr
5996,ENSG00000090104,RGS1,protein-coding,regulator of G protein signaling 1,ENSMUSG00000026358,50778,Rgs1
5997,ENSG00000116741,RGS2,protein-coding,regulator of G protein signaling 2,ENSMUSG00000026360,19735,Rgs2
5998,ENSG00000138835,RGS3,protein-coding,regulator of G protein signaling 3,ENSMUSG00000059810,50780,Rgs3
5999,ENSG00000117152,RGS4,protein-coding,regulator of G protein signaling 4,ENSMUSG00000038530,19736,Rgs4
6000,ENSG00000182901,RGS7,protein-coding,regulator of G protein signaling 7,ENSMUSG00000026527,24012,Rgs7
6001,ENSG00000148908,RGS10,protein-coding,regulator of G protein signaling 10,ENSMUSG00000030844,67865,Rgs10
6002,ENSG00000159788,RGS12,protein-coding,regulator of G protein signaling 12,ENSMUSG00000029101,71729,Rgs12
6003,ENSG00000127074,RGS13,protein-coding,regulator of G protein signaling 13,ENSMUSG00000051079,246709,Rgs13
6004,ENSG00000143333,RGS16,protein-coding,regulator of G protein signaling 16,ENSMUSG00000026475,19734,Rgs16
6005,ENSG00000112077,RHAG,protein-coding,Rh associated glycoprotein,ENSMUSG00000023926,19743,Rhag
6006,ENSG00000188672,RHCE,protein-coding,Rh blood group CcEe antigens,NA,NA,NA
6009,ENSG00000106615,RHEB,protein-coding,"Ras homolog, mTORC1 binding",ENSMUSG00000028945,19744,Rheb
6010,ENSG00000163914,RHO,protein-coding,rhodopsin,ENSMUSG00000030324,212541,Rho
6011,ENSG00000185974,GRK1,protein-coding,G protein-coupled receptor kinase 1,ENSMUSG00000031450,24013,Grk1
6014,ENSG00000152214,RIT2,protein-coding,Ras like without CAAX 2,ENSMUSG00000057455,19762,Rit2
6015,ENSG00000204227,RING1,protein-coding,ring finger protein 1,ENSMUSG00000024325,19763,Ring1
6016,ENSG00000143622,RIT1,protein-coding,Ras like without CAAX 1,ENSMUSG00000028057,19769,Rit1
6017,ENSG00000140522,RLBP1,protein-coding,retinaldehyde binding protein 1,ENSMUSG00000039194,19771,Rlbp1
6018,ENSG00000117000,RLF,protein-coding,RLF zinc finger,ENSMUSG00000049878,109263,Rlf
6035,ENSG00000129538,RNASE1,protein-coding,"ribonuclease A family member 1, pancreatic",ENSMUSG00000035896,19752,Rnase1
6036,ENSG00000169385,RNASE2,protein-coding,ribonuclease A family member 2,ENSMUSG00000062148,93719,Ear6
6037,ENSG00000169397,RNASE3,protein-coding,ribonuclease A family member 3,NA,NA,NA
6038,ENSG00000258818,RNASE4,protein-coding,ribonuclease A family member 4,ENSMUSG00000021876,58809,Rnase4
6039,ENSG00000169413,RNASE6,protein-coding,ribonuclease A family member k6,ENSMUSG00000021880,78416,Rnase6
6041,ENSG00000135828,RNASEL,protein-coding,ribonuclease L,ENSMUSG00000066800,24014,Rnasel
6045,ENSG00000121481,RNF2,protein-coding,ring finger protein 2,ENSMUSG00000026484,19821,Rnf2
6046,ENSG00000204256,BRD2,protein-coding,bromodomain containing 2,ENSMUSG00000024335,14312,Brd2
6047,ENSG00000063978,RNF4,protein-coding,ring finger protein 4,ENSMUSG00000029110,19822,Rnf4
6048,ENSG00000204308,RNF5,protein-coding,ring finger protein 5,ENSMUSG00000015478,54197,Rnf5
6049,ENSG00000127870,RNF6,protein-coding,ring finger protein 6,ENSMUSG00000029634,74132,Rnf6
6050,ENSG00000023191,RNH1,protein-coding,ribonuclease/angiogenin inhibitor 1,ENSMUSG00000038650,107702,Rnh1
6051,ENSG00000176393,RNPEP,protein-coding,arginyl aminopeptidase,ENSMUSG00000041926,215615,Rnpep
6059,ENSG00000164163,ABCE1,protein-coding,ATP binding cassette subfamily E member 1,ENSMUSG00000058355,24015,Abce1
6091,ENSG00000169855,ROBO1,protein-coding,roundabout guidance receptor 1,ENSMUSG00000022883,19876,Robo1
6092,ENSG00000185008,ROBO2,protein-coding,roundabout guidance receptor 2,ENSMUSG00000052516,268902,Robo2
6093,ENSG00000067900,ROCK1,protein-coding,Rho associated coiled-coil containing protein kinase 1,ENSMUSG00000024290,19877,Rock1
6094,ENSG00000149489,ROM1,protein-coding,retinal outer segment membrane protein 1,ENSMUSG00000071648,19881,Rom1
6095,ENSG00000069667,RORA,protein-coding,RAR related orphan receptor A,ENSMUSG00000032238,19883,Rora
6096,ENSG00000198963,RORB,protein-coding,RAR related orphan receptor B,ENSMUSG00000036192,225998,Rorb
6097,ENSG00000143365,RORC,protein-coding,RAR related orphan receptor C,ENSMUSG00000028150,19885,Rorc
6098,ENSG00000047936,ROS1,protein-coding,"ROS proto-oncogene 1, receptor tyrosine kinase",ENSMUSG00000019893,19886,Ros1
6100,ENSG00000164610,RP9,protein-coding,RP9 pre-mRNA splicing factor,ENSMUSG00000032239,55934,Rp9
6101,ENSG00000104237,RP1,protein-coding,RP1 axonemal microtubule associated,ENSMUSG00000025900,19888,Rp1
6102,ENSG00000102218,RP2,protein-coding,RP2 activator of ARL3 GTPase,ENSMUSG00000060090,19889,Rp2
6103,ENSG00000156313,RPGR,protein-coding,retinitis pigmentosa GTPase regulator,ENSMUSG00000031174,19893,Rpgr
6117,ENSG00000132383,RPA1,protein-coding,replication protein A1,ENSMUSG00000000751,68275,Rpa1
6118,ENSG00000117748,RPA2,protein-coding,replication protein A2,ENSMUSG00000028884,19891,Rpa2
6119,ENSG00000106399,RPA3,protein-coding,replication protein A3,ENSMUSG00000012483,68240,Rpa3
6120,ENSG00000197713,RPE,protein-coding,ribulose-5-phosphate-3-epimerase,ENSMUSG00000026005,66646,Rpe
6121,ENSG00000116745,RPE65,protein-coding,retinoid isomerohydrolase RPE65,ENSMUSG00000028174,19892,Rpe65
6122,ENSG00000100316,RPL3,protein-coding,ribosomal protein L3,ENSMUSG00000060036,27367,Rpl3
6123,ENSG00000140986,RPL3L,protein-coding,ribosomal protein L3 like,ENSMUSG00000002500,66211,Rpl3l
6124,ENSG00000174444,RPL4,protein-coding,ribosomal protein L4,ENSMUSG00000032399,67891,Rpl4
6125,ENSG00000122406,RPL5,protein-coding,ribosomal protein L5,ENSMUSG00000058558,100503670,Rpl5
6128,ENSG00000089009,RPL6,protein-coding,ribosomal protein L6,ENSMUSG00000029614,19988,Rpl6
6129,ENSG00000147604,RPL7,protein-coding,ribosomal protein L7,ENSMUSG00000043716,19989,Rpl7
6130,ENSG00000148303,RPL7A,protein-coding,ribosomal protein L7a,ENSMUSG00000062647,27176,Rpl7a
6132,ENSG00000161016,RPL8,protein-coding,ribosomal protein L8,ENSMUSG00000003970,26961,Rpl8
6133,ENSG00000163682,RPL9,protein-coding,ribosomal protein L9,ENSMUSG00000047215,20005,Rpl9
6134,ENSG00000147403,RPL10,protein-coding,ribosomal protein L10,ENSMUSG00000008682,110954,Rpl10
6135,ENSG00000142676,RPL11,protein-coding,ribosomal protein L11,ENSMUSG00000059291,67025,Rpl11
6136,ENSG00000197958,RPL12,protein-coding,ribosomal protein L12,ENSMUSG00000038900,269261,Rpl12
6137,ENSG00000167526,RPL13,protein-coding,ribosomal protein L13,ENSMUSG00000000740,270106,Rpl13
6138,ENSG00000174748,RPL15,protein-coding,ribosomal protein L15,ENSMUSG00000012405,66480,Rpl15
6139,ENSG00000265681,RPL17,protein-coding,ribosomal protein L17,ENSMUSG00000062328,319195,Rpl17
6141,ENSG00000063177,RPL18,protein-coding,ribosomal protein L18,ENSMUSG00000059070,19899,Rpl18
6142,ENSG00000105640,RPL18A,protein-coding,ribosomal protein L18a,ENSMUSG00000045128,76808,Rpl18a
6143,ENSG00000108298,RPL19,protein-coding,ribosomal protein L19,ENSMUSG00000017404,19921,Rpl19
6144,ENSG00000122026,RPL21,protein-coding,ribosomal protein L21,ENSMUSG00000041453,19933,Rpl21
6146,ENSG00000116251,RPL22,protein-coding,ribosomal protein L22,ENSMUSG00000028936,19934,Rpl22
6147,ENSG00000198242,RPL23A,protein-coding,ribosomal protein L23a,ENSMUSG00000058546,268449,Rpl23a
6150,ENSG00000214026,MRPL23,protein-coding,mitochondrial ribosomal protein L23,ENSMUSG00000037772,19935,Mrpl23
6152,ENSG00000114391,RPL24,protein-coding,ribosomal protein L24,ENSMUSG00000098274,68193,Rpl24
6154,ENSG00000161970,RPL26,protein-coding,ribosomal protein L26,ENSMUSG00000060938,19941,Rpl26
6155,ENSG00000131469,RPL27,protein-coding,ribosomal protein L27,ENSMUSG00000063316,19942,Rpl27
6156,ENSG00000156482,RPL30,protein-coding,ribosomal protein L30,ENSMUSG00000058600,19946,Rpl30
6157,ENSG00000166441,RPL27A,protein-coding,ribosomal protein L27a,ENSMUSG00000046364,26451,Rpl27a
6158,ENSG00000108107,RPL28,protein-coding,ribosomal protein L28,ENSMUSG00000030432,19943,Rpl28
6159,ENSG00000162244,RPL29,protein-coding,ribosomal protein L29,ENSMUSG00000048758,19944,Rpl29
6160,ENSG00000071082,RPL31,protein-coding,ribosomal protein L31,ENSMUSG00000073702,114641,Rpl31
6161,ENSG00000144713,RPL32,protein-coding,ribosomal protein L32,ENSMUSG00000057841,19951,Rpl32
6164,ENSG00000109475,RPL34,protein-coding,ribosomal protein L34,ENSMUSG00000062006,68436,Rpl34
6165,ENSG00000182899,RPL35A,protein-coding,ribosomal protein L35a,ENSMUSG00000060636,57808,Rpl35a
6166,ENSG00000165502,RPL36AL,protein-coding,ribosomal protein L36a like,ENSMUSG00000049751,66483,Rpl36al
6167,ENSG00000145592,RPL37,protein-coding,ribosomal protein L37,ENSMUSG00000041841,67281,Rpl37
6168,ENSG00000197756,RPL37A,protein-coding,ribosomal protein L37a,ENSMUSG00000046330,19981,Rpl37a
6169,ENSG00000172809,RPL38,protein-coding,ribosomal protein L38,ENSMUSG00000057322,67671,Rpl38
6170,ENSG00000198918,RPL39,protein-coding,ribosomal protein L39,ENSMUSG00000079641,67248,Rpl39
6171,ENSG00000229117,RPL41,protein-coding,ribosomal protein L41,ENSMUSG00000093674,67945,Rpl41
6173,ENSG00000241343,RPL36A,protein-coding,ribosomal protein L36a,ENSMUSG00000079435,19982,Rpl36a
6175,ENSG00000089157,RPLP0,protein-coding,ribosomal protein lateral stalk subunit P0,ENSMUSG00000067274,11837,Rplp0
6176,ENSG00000137818,RPLP1,protein-coding,ribosomal protein lateral stalk subunit P1,ENSMUSG00000007892,56040,Rplp1
6181,ENSG00000177600,RPLP2,protein-coding,ribosomal protein lateral stalk subunit P2,ENSMUSG00000025508,67186,Rplp2
6182,ENSG00000262814,MRPL12,protein-coding,mitochondrial ribosomal protein L12,ENSMUSG00000039640,56282,Mrpl12
6183,ENSG00000128626,MRPS12,protein-coding,mitochondrial ribosomal protein S12,ENSMUSG00000045948,24030,Mrps12
6184,ENSG00000163902,RPN1,protein-coding,ribophorin I,ENSMUSG00000030062,103963,Rpn1
6185,ENSG00000118705,RPN2,protein-coding,ribophorin II,ENSMUSG00000027642,20014,Rpn2
6187,ENSG00000140988,RPS2,protein-coding,ribosomal protein S2,ENSMUSG00000044533,16898,Rps2
6188,ENSG00000149273,RPS3,protein-coding,ribosomal protein S3,ENSMUSG00000030744,27050,Rps3
6189,ENSG00000145425,RPS3A,protein-coding,ribosomal protein S3A,ENSMUSG00000028081,20091,Rps3a1
6191,ENSG00000198034,RPS4X,protein-coding,ribosomal protein S4 X-linked,ENSMUSG00000031320,20102,Rps4x
6192,ENSG00000129824,RPS4Y1,protein-coding,ribosomal protein S4 Y-linked 1,NA,NA,NA
6193,ENSG00000083845,RPS5,protein-coding,ribosomal protein S5,ENSMUSG00000012848,20103,Rps5
6194,ENSG00000137154,RPS6,protein-coding,ribosomal protein S6,ENSMUSG00000028495,20104,Rps6
6195,ENSG00000117676,RPS6KA1,protein-coding,ribosomal protein S6 kinase A1,ENSMUSG00000003644,20111,Rps6ka1
6196,ENSG00000071242,RPS6KA2,protein-coding,ribosomal protein S6 kinase A2,ENSMUSG00000023809,20112,Rps6ka2
6197,ENSG00000177189,RPS6KA3,protein-coding,ribosomal protein S6 kinase A3,ENSMUSG00000031309,110651,Rps6ka3
6198,ENSG00000108443,RPS6KB1,protein-coding,ribosomal protein S6 kinase B1,ENSMUSG00000020516,72508,Rps6kb1
6199,ENSG00000175634,RPS6KB2,protein-coding,ribosomal protein S6 kinase B2,ENSMUSG00000024830,58988,Rps6kb2
6201,ENSG00000171863,RPS7,protein-coding,ribosomal protein S7,ENSMUSG00000061477,20115,Rps7
6202,ENSG00000142937,RPS8,protein-coding,ribosomal protein S8,ENSMUSG00000047675,20116,Rps8
6203,ENSG00000170889,RPS9,protein-coding,ribosomal protein S9,ENSMUSG00000006333,76846,Rps9
6204,ENSG00000124614,RPS10,protein-coding,ribosomal protein S10,ENSMUSG00000052146,67097,Rps10
6205,ENSG00000142534,RPS11,protein-coding,ribosomal protein S11,ENSMUSG00000003429,27207,Rps11
6206,ENSG00000112306,RPS12,protein-coding,ribosomal protein S12,ENSMUSG00000061983,20042,Rps12
6207,ENSG00000110700,RPS13,protein-coding,ribosomal protein S13,ENSMUSG00000090862,68052,Rps13
6208,ENSG00000164587,RPS14,protein-coding,ribosomal protein S14,ENSMUSG00000024608,20044,Rps14
6209,ENSG00000115268,RPS15,protein-coding,ribosomal protein S15,ENSMUSG00000063457,20054,Rps15
6210,ENSG00000134419,RPS15A,protein-coding,ribosomal protein S15a,ENSMUSG00000008683,267019,Rps15a
6217,ENSG00000105193,RPS16,protein-coding,ribosomal protein S16,ENSMUSG00000037563,20055,Rps16
6218,ENSG00000182774,RPS17,protein-coding,ribosomal protein S17,ENSMUSG00000061787,20068,Rps17
6222,ENSG00000231500,RPS18,protein-coding,ribosomal protein S18,ENSMUSG00000008668,20084,Rps18
6223,ENSG00000105372,RPS19,protein-coding,ribosomal protein S19,ENSMUSG00000040952,20085,Rps19
6224,ENSG00000008988,RPS20,protein-coding,ribosomal protein S20,ENSMUSG00000028234,67427,Rps20
6227,ENSG00000171858,RPS21,protein-coding,ribosomal protein S21,ENSMUSG00000039001,66481,Rps21
6228,ENSG00000186468,RPS23,protein-coding,ribosomal protein S23,ENSMUSG00000049517,66475,Rps23
6229,ENSG00000138326,RPS24,protein-coding,ribosomal protein S24,ENSMUSG00000025290,20088,Rps24
6230,ENSG00000118181,RPS25,protein-coding,ribosomal protein S25,ENSMUSG00000009927,75617,Rps25
6231,ENSG00000197728,RPS26,protein-coding,ribosomal protein S26,ENSMUSG00000025362,27370,Rps26
6232,ENSG00000177954,RPS27,protein-coding,ribosomal protein S27,ENSMUSG00000090733,57294,Rps27
